"CollectedDate","Path","Title","TotalViews","UniqueVisitors"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability","GitHub - ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for...","211","106"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main ┬╖ ZacharyLuz/Get-AzVMAv...","33","13"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/blob/main/README.md","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main ┬╖ ZacharyLuz/Get-AzVMAv...","7","5"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic ┬╖ ZacharyLuz/Get-AzVMAvailability","10","1"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub ┬╖ Where software is built","17","6"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ┬╖...","9","2"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/issues/31","Clear up multi-subscription selection reporting ┬╖ Issue #31 ┬╖ ZacharyLuz/Get-...","7","4"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 ΓÇö placement scores, spot pricing, interactive prompts by Zachar...","10","1"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests ┬╖ ZacharyLuz/Get-AzVMAvailability","8","1"
"2026-03-18","/ZacharyLuz/Get-AzVMAvailability/releases","Releases ┬╖ ZacharyLuz/Get-AzVMAvailability","9","5"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability","GitHub - ZacharyLuz/Get-AzVMAvailability: A comprehensive PowerShell tool for...","207","103"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/blob/main/Get-AzVMAvailability.ps1","Get-AzVMAvailability/Get-AzVMAvailability.ps1 at main ┬╖ ZacharyLuz/Get-AzVMAv...","32","13"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/graphs/traffic","Traffic ┬╖ ZacharyLuz/Get-AzVMAvailability","8","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/issues","GitHub ┬╖ Where software is built","19","6"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/issues/28","[FEATURE] Create an MCP server interface for use with automated deployments ┬╖...","10","2"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/issues/31","Clear up multi-subscription selection reporting ┬╖ Issue #31 ┬╖ ZacharyLuz/Get-...","7","4"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/pull/33","feat: v1.11.0 ΓÇö placement scores, spot pricing, interactive prompts by Zachar...","10","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/pull/49","fix: address post-merge Copilot PR #48 comments ΓÇö git ls-files docs scan + Re...","7","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/pulls","Pull requests ┬╖ ZacharyLuz/Get-AzVMAvailability","14","1"
"2026-03-19","/ZacharyLuz/Get-AzVMAvailability/releases","Releases ┬╖ ZacharyLuz/Get-AzVMAvailability","9","5"
